nodeId, isCoreNode
1, 0
2, 1
3, 0
4, 1
5, 0
6, 0
7, 0
8, 0
9, 1
10, 0
11, 0
12, 0
13, 1
14, 0
15, 0
16, 0
17, 0
18, 1
19, 0
20, 0
21, 1
22, 0
23, 0
24, 1
25, 1
26, 0
27, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 1
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 1
56, 1
57, 0
58, 1
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 1
66, 0
67, 0
68, 0
69, 1
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 1
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 1
86, 0
87, 1
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
100, 0
101, 1
102, 0
103, 0
104, 0
105, 0
106, 0
107, 0
108, 0
109, 0
110, 0
111, 0
112, 0
113, 0
114, 0
115, 0
116, 0
117, 0
118, 1
119, 0
120, 0
121, 0
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 0
130, 0
131, 0
132, 0
133, 1

linkId, srcNodeId, dstNodeId, linkLengthKm
1, 1, 2, 74
2, 2, 1, 74
3, 3, 4, 420
4, 4, 3, 420
5, 5, 6, 140
6, 6, 5, 140
7, 7, 6, 62
8, 6, 7, 62
9, 8, 9, 298
10, 9, 8, 298
11, 10, 11, 86
12, 11, 10, 86
13, 12, 13, 113
14, 13, 12, 113
15, 14, 1, 53
16, 1, 14, 53
17, 15, 16, 43
18, 16, 15, 43
19, 17, 3, 181
20, 3, 17, 181
21, 18, 19, 94
22, 19, 18, 94
23, 20, 21, 209
24, 21, 20, 209
25, 22, 23, 358
26, 23, 22, 358
27, 24, 25, 21
28, 25, 24, 21
29, 26, 27, 54
30, 27, 26, 54
31, 17, 29, 247
32, 29, 17, 247
33, 30, 29, 327
34, 29, 30, 327
35, 31, 32, 83
36, 32, 31, 83
37, 33, 34, 222
38, 34, 33, 222
39, 35, 36, 144
40, 36, 35, 144
41, 37, 12, 200
42, 12, 37, 200
43, 38, 39, 129
44, 39, 38, 129
45, 40, 32, 19
46, 32, 40, 19
47, 42, 43, 276
48, 43, 42, 276
49, 10, 44, 101
50, 44, 10, 101
51, 45, 46, 57
52, 46, 45, 57
53, 47, 48, 156
54, 48, 47, 156
55, 16, 49, 77
56, 49, 16, 77
57, 34, 50, 100
58, 50, 34, 100
59, 51, 52, 43
60, 52, 51, 43
61, 29, 53, 95
62, 53, 29, 95
63, 35, 55, 146
64, 55, 35, 146
65, 56, 42, 111
66, 42, 56, 111
67, 57, 58, 51
68, 58, 57, 51
69, 59, 31, 271
70, 31, 59, 271
71, 19, 60, 110
72, 60, 19, 110
73, 61, 27, 80
74, 27, 61, 80
75, 15, 62, 161
76, 62, 15, 161
77, 63, 36, 83
78, 36, 63, 83
79, 64, 65, 60
80, 65, 64, 60
81, 66, 67, 124
82, 67, 66, 124
83, 68, 9, 175
84, 9, 68, 175
85, 69, 70, 106
86, 70, 69, 106
87, 37, 68, 106
88, 68, 37, 106
89, 5, 61, 74
